Geography,Date,Units,BodyType,Private male,Private female,Private unknown,Company,Between keepers,Total
England,1996 Q4 (end December),Thousands,Total,"12,527.00","5,742.20",527.6,"3,610.60",0.1,"22,407.30"
England,1997 Q4 (end December),Thousands,Total,"12,746.50","5,990.80",566.5,"3,770.90",[low],"23,074.80"
England,1998 Q4 (end December),Thousands,Total,"12,988.90","6,206.40",614.1,"3,840.60",[low],"23,649.90"
England,1999 Q4 (end December),Thousands,Total,"13,283.50","6,436.60",674.2,"3,846.70",0,"24,241.10"
England,2000 Q4 (end December),Thousands,Total,"13,464.00","6,646.60",723.8,"4,065.70",0,"24,900.10"
England,2001 Q4 (end December),Thousands,Total,"13,785.80","6,917.50",791.1,"4,039.70",0,"25,534.10"
England,2002 Q4 (end December),Thousands,Total,"14,132.50","7,192.10",868.4,"3,976.80",0,"26,169.80"
England,2003 Q4 (end December),Thousands,Total,"14,361.80","7,377.20",977.3,"3,938.20",0,"26,654.40"
England,2004 Q4 (end December),Thousands,Total,"14,699.30","7,590.10","1,049.50","4,058.00",0,"27,396.90"
England,2005 Q4 (end December),Thousands,Total,"14,896.90","7,818.50","1,096.10","4,215.30",0,"28,026.70"
England,2006 Q4 (end December),Thousands,Total,"14,853.80","7,959.90","1,123.70","4,181.00",[low],"28,118.50"
England,2007 Q4 (end December),Thousands,Total,"15,018.70","8,143.70","1,143.90","4,278.30",[low],"28,584.60"
England,2008 Q4 (end December),Thousands,Total,"15,120.20","8,309.70","1,146.50","4,298.90",0,"28,875.30"
England,2009 Q4 (end December),Thousands,Total,"15,176.70","8,447.80","1,158.50","4,123.20",0,"28,906.30"
England,2010 Q4 (end December),Thousands,Total,"15,103.60","8,558.50","1,202.10","4,078.50",0,"28,942.80"
England,2011 Q4 (end December),Thousands,Total,"15,060.40","8,640.50","1,236.10","4,132.30",0,"29,069.20"
England,2012 Q4 (end December),Thousands,Total,"15,091.30","8,748.50","1,252.80","4,182.20",0,"29,274.80"
England,2013 Q4 (end December),Thousands,Total,"15,252.30","8,868.00","1,273.40","4,298.60",0,"29,692.30"
