Geography [note 1],Date,Units,BodyType,Up to 1 year,1 up to 2 years,2 up to 3 years,3 up to 4 years,4 up to 5 years,5 up to 6 years,6 up to 10 years,10 up to 13 years,13 years and over,Unknown [note 2],Total,Average age since first use (years)
Wales,2021 Q4 (end December),Thousands,Buses and coaches,0.2,0.3,0.4,0.3,0.4,0.4,1.9,1.2,3.3,0.3,8.7,12.2
Wales,2022 Q4 (end December),Thousands,Buses and coaches,0.2,0.2,0.3,0.4,0.3,0.4,1.8,1.3,3.4,0.3,8.7,12.6
Wales,2023 Q4 (end December),Thousands,Buses and coaches,0.2,0.2,0.2,0.3,0.4,0.3,1.7,1.4,3.4,0.3,8.5,12.9
Wales,2024 Q4 (end December),Thousands,Buses and coaches,0.6,0.2,0.2,0.2,0.3,0.3,1.6,1.3,3.3,0.3,8.4,12.8
Wales,2025 Q4 (end December),Thousands,Buses and coaches,0.3,0.6,0.2,0.2,0.2,0.2,1.5,1.3,3.3,0.3,8.3,12.8
Wales,1994 Q4 (end December),Thousands,Cars,67.2,71.5,64.3,69.4,92.4,104.6,318.7,140.5,59.6,18.4,"1,006.40",6.8
Wales,1995 Q4 (end December),Thousands,Cars,69.8,76.3,73.4,69,72.5,91.8,335.4,145.3,66,18,"1,017.40",6.8
Wales,1996 Q4 (end December),Thousands,Cars,75.3,78.7,78.8,77.3,72.7,72.6,353.9,154.7,84.7,18.6,"1,067.30",7.1
Wales,1997 Q4 (end December),Thousands,Cars,78.5,82.7,81.7,83.2,81.2,72.6,340.7,166.3,94.9,19,"1,100.70",7.1
Wales,1998 Q4 (end December),Thousands,Cars,83.9,86.6,86.5,85.6,87.4,81.8,318.3,180.4,100.8,20,"1,131.40",7.1
Wales,1999 Q4 (end December),Thousands,Cars,85.5,92.6,90.9,90.6,90,88.7,302.6,200.1,106.3,22,"1,169.30",7.1
Wales,2000 Q4 (end December),Thousands,Cars,80,85.4,89.1,90.7,94,90.4,302.1,204.4,110.5,23.1,"1,169.80",7.2
Wales,2001 Q4 (end December),Thousands,Cars,94.5,89.3,90,93.9,97.8,95.2,322.9,188.3,120.8,24.3,"1,217.00",7.1
Wales,2002 Q4 (end December),Thousands,Cars,100.4,103.1,94,96.3,102.1,100.7,347.4,169.8,129.9,25.7,"1,269.40",7
Wales,2003 Q4 (end December),Thousands,Cars,99.4,112.1,104.7,97.9,102.9,103.3,364,164.3,128.2,28.4,"1,305.20",6.9
Wales,2004 Q4 (end December),Thousands,Cars,100.7,112.3,115.4,112,106,105.1,379.5,176.2,119,30.8,"1,357.00",6.8
Wales,2005 Q4 (end December),Thousands,Cars,93.2,112.4,116.6,120.8,120.1,107.7,391.8,186.1,111.9,31.5,"1,392.10",6.8
Wales,2006 Q4 (end December),Thousands,Cars,89.8,105.1,115.1,118.6,127.6,120.8,395.8,186.8,109.4,30.9,"1,400.00",6.9
Wales,2007 Q4 (end December),Thousands,Cars,90.4,100.6,108.5,116.8,124,128.5,412.5,194.2,114.9,30,"1,420.20",6.9
Wales,2008 Q4 (end December),Thousands,Cars,81.4,103.8,105.2,110.2,122.8,124.3,434.1,200.1,118.8,28.2,"1,429.00",7.1
Wales,2009 Q4 (end December),Thousands,Cars,78.6,90.7,108.1,105.3,116.3,123.1,454,203,124.2,26.7,"1,430.00",7.2
Wales,2010 Q4 (end December),Thousands,Cars,77.1,85.1,94,107.9,109.9,116.1,466.7,213.1,134.4,29.2,"1,433.30",7.4
Wales,2011 Q4 (end December),Thousands,Cars,70,85.7,87.7,95.3,114.3,111.4,465.5,236.3,143.9,27.3,"1,437.60",7.7
Wales,2012 Q4 (end December),Thousands,Cars,75.4,79.1,88.9,87.9,101.5,115.6,451.6,263.3,158.4,25.7,"1,447.40",7.9
Wales,2013 Q4 (end December),Thousands,Cars,87.4,85.4,81.8,88.7,92.8,102.2,442.7,281.2,173.8,24.2,"1,460.20",8
Wales,2014 Q4 (end December),Thousands,Cars,93.8,96.2,87.2,81.1,93.9,93,422.7,286.4,200,23.1,"1,477.50",8.1
Wales,2015 Q4 (end December),Thousands,Cars,95.9,103.3,97.6,86.7,87.5,94.9,401.5,277,230.4,21.7,"1,496.40",8.1
