Geography [note 1],Date,Units,BodyType,Up to 1 year,1 up to 2 years,2 up to 3 years,3 up to 4 years,4 up to 5 years,5 up to 6 years,6 up to 10 years,10 up to 13 years,13 years and over,Unknown [note 2],Total,Average age since first use (years)
Great Britain,2023 Q4 (end December),Thousands,Other vehicles,51.6,44.5,41.2,31.4,35.8,31.2,100,60.7,282,135.4,813.9,17.1
Great Britain,2024 Q4 (end December),Thousands,Other vehicles,49.4,47.7,41.8,37.4,29.5,33.6,100.5,60.1,290.4,136.1,826.5,17.2
Great Britain,2025 Q4 (end December),Thousands,Other vehicles,47.2,44.6,43.5,35.4,33.2,26.5,103.2,58.2,297.7,137.5,827,17.6
Great Britain,1994 Q4 (end December),Thousands,Total,"2,020.80","1,888.60","1,694.50","1,659.20","2,106.60","2,411.60","7,629.70","3,332.70","1,936.70",550.9,"25,231.50",7
Great Britain,1995 Q4 (end December),Thousands,Total,"2,067.00","2,028.20","1,857.90","1,639.50","1,647.70","2,062.40","7,905.30","3,520.90","2,058.30",582.2,"25,369.40",7.1
Great Britain,1996 Q4 (end December),Thousands,Total,"2,169.40","2,062.30","2,002.30","1,801.60","1,630.30","1,617.50","8,159.60","3,736.90","2,499.70",622.4,"26,301.90",7.3
Great Britain,1997 Q4 (end December),Thousands,Total,"2,335.60","2,153.40","2,052.60","1,949.20","1,793.60","1,603.50","7,700.40","3,989.10","2,743.00",653.4,"26,973.80",7.4
Great Britain,1998 Q4 (end December),Thousands,Total,"2,457.40","2,318.40","2,145.10","2,011.90","1,946.00","1,767.70","7,030.40","4,257.30","2,895.20",709.1,"27,538.40",7.3
Great Britain,1999 Q4 (end December),Thousands,Total,"2,518.50","2,458.40","2,333.00","2,119.10","2,024.20","1,933.00","6,555.10","4,621.80","3,036.10",768.3,"28,367.60",7.3
Great Britain,2000 Q4 (end December),Thousands,Total,"2,637.70","2,478.90","2,458.60","2,283.60","2,118.50","1,992.90","6,462.50","4,554.30","3,114.10",796.6,"28,897.60",7.2
Great Britain,2001 Q4 (end December),Thousands,Total,"2,910.10","2,594.30","2,462.00","2,386.10","2,279.00","2,090.70","6,849.80","4,050.50","3,304.10",820.5,"29,747.10",7.1
Great Britain,2002 Q4 (end December),Thousands,Total,"3,002.00","2,871.80","2,568.70","2,396.80","2,384.20","2,248.70","7,272.40","3,518.60","3,448.60",844.9,"30,556.70",7
Great Britain,2003 Q4 (end December),Thousands,Total,"2,964.30","2,964.80","2,816.90","2,470.80","2,378.10","2,340.60","7,651.80","3,353.60","3,376.40",890,"31,207.40",6.9
Great Britain,2004 Q4 (end December),Thousands,Total,"2,912.50","2,964.90","2,959.80","2,777.80","2,493.00","2,359.60","8,093.50","3,568.30","3,194.20",935.2,"32,258.90",6.9
Great Britain,2005 Q4 (end December),Thousands,Total,"2,788.20","2,928.70","2,944.90","2,890.50","2,764.20","2,453.80","8,392.80","3,763.10","3,026.30",945,"32,897.40",6.9
Great Britain,2006 Q4 (end December),Thousands,Total,"2,655.20","2,772.00","2,898.00","2,853.10","2,854.30","2,709.50","8,631.40","3,833.10","2,940.70",923.1,"33,070.50",6.9
Great Britain,2007 Q4 (end December),Thousands,Total,"2,719.60","2,668.80","2,749.70","2,814.20","2,826.60","2,810.30","9,060.80","4,058.80","3,021.30",920.9,"33,651.00",7
Great Britain,2008 Q4 (end December),Thousands,Total,"2,459.40","2,746.20","2,665.90","2,672.90","2,791.40","2,778.70","9,498.70","4,277.30","3,101.60",891.3,"33,883.40",7.2
Great Britain,2009 Q4 (end December),Thousands,Total,"2,215.70","2,461.00","2,748.80","2,611.50","2,665.70","2,761.20","9,970.00","4,416.00","3,245.20",863.3,"33,958.40",7.3
Great Britain,2010 Q4 (end December),Thousands,Total,"2,257.00","2,192.10","2,431.30","2,669.90","2,574.70","2,615.90","10,294.80","4,701.80","3,492.60",890.2,"34,120.20",7.6
Great Britain,2011 Q4 (end December),Thousands,Total,"2,219.70","2,243.40","2,179.50","2,362.80","2,647.30","2,540.00","10,246.70","5,193.10","3,738.40",857.8,"34,228.60",7.8
Great Britain,2012 Q4 (end December),Thousands,Total,"2,316.10","2,209.10","2,231.10","2,126.80","2,340.50","2,615.60","10,039.10","5,731.30","4,079.20",833.6,"34,522.30",8
Great Britain,2013 Q4 (end December),Thousands,Total,"2,579.40","2,301.30","2,194.00","2,176.40","2,110.70","2,304.70","9,903.80","6,144.40","4,505.90",813.9,"35,034.50",8.1
Great Britain,2014 Q4 (end December),Thousands,Total,"2,793.80","2,536.00","2,251.00","2,087.30","2,130.30","2,061.90","9,402.60","6,269.20","5,094.00",791,"35,417.10",8.2
Great Britain,2015 Q4 (end December),Thousands,Total,"2,995.70","2,768.50","2,496.00","2,165.10","2,077.80","2,095.10","8,870.60","6,194.30","5,810.30",774.3,"36,247.60",8.2
Great Britain,2016 Q4 (end December),Thousands,Total,"3,085.00","2,991.30","2,741.50","2,418.50","2,168.60","2,049.50","8,496.50","6,092.10","6,452.90",760.8,"37,256.80",8.3
Great Britain,2017 Q4 (end December),Thousands,Total,"2,874.60","3,055.10","2,948.70","2,638.10","2,411.90","2,131.10","7,994.90","6,031.80","6,908.20",740.6,"37,735.00",8.3
Great Britain,2018 Q4 (end December),Thousands,Total,"2,744.90","2,878.80","3,008.10","2,836.00","2,627.60","2,367.30","7,877.20","5,805.40","7,298.80",740,"38,184.00",8.4
Great Britain,2019 Q4 (end December),Thousands,Total,"2,704.90","2,715.50","2,838.80","2,905.10","2,828.20","2,589.90","8,170.90","5,485.00","7,706.00",738.5,"38,682.70",8.6
Great Britain,2020 Q4 (end December),Thousands,Total,"1,994.40","2,663.80","2,659.00","2,703.20","2,882.40","2,790.10","8,661.70","5,229.60","8,268.60",729.1,"38,581.80",8.9
Great Britain,2021 Q4 (end December),Thousands,Total,"2,115.00","1,968.40","2,651.20","2,588.40","2,730.20","2,871.00","9,490.00","5,207.60","8,674.30",738.2,"39,034.30",9.1
Great Britain,2022 Q4 (end December),Thousands,Total,"2,020.60","2,061.00","1,939.10","2,597.40","2,600.70","2,718.00","10,253.00","5,343.40","9,165.70",747.6,"39,446.50",9.4
Great Britain,2023 Q4 (end December),Thousands,Total,"2,344.40","1,962.40","2,026.30","1,863.40","2,575.40","2,570.10","10,574.40","5,621.20","9,609.20",754.5,"39,901.20",9.6
Great Britain,2024 Q4 (end December),Thousands,Total,"2,385.50","2,290.60","1,933.20","1,950.60","1,860.40","2,547.70","10,538.90","6,154.30","9,935.40",769.4,"40,366.00",9.8
Great Britain,2025 Q4 (end December),Thousands,Total,"2,394.50","2,351.80","2,266.90","1,863.50","1,947.60","1,844.80","10,300.90","6,808.80","10,381.90",789,"40,949.70",10
Northern Ireland,2014 Q4 (end December),Thousands,Buses and coaches,0.4,0.3,0.2,0.2,0.3,0.3,1.7,0.5,0.5,1.2,5.6,7.6
Northern Ireland,2015 Q4 (end December),Thousands,Buses and coaches,0.2,0.4,0.3,0.2,0.2,0.3,1.6,0.7,0.5,1.1,5.5,8
Northern Ireland,2016 Q4 (end December),Thousands,Buses and coaches,0.1,0.2,0.3,0.3,0.3,0.2,1.5,0.9,0.7,1,5.6,8.7
Northern Ireland,2017 Q4 (end December),Thousands,Buses and coaches,0.3,0.1,0.2,0.3,0.3,0.3,1.3,1.1,0.8,0.9,5.6,9
Northern Ireland,2018 Q4 (end December),Thousands,Buses and coaches,0.2,0.3,0.1,0.2,0.3,0.3,1.1,1.1,1,0.8,5.5,9.4
Northern Ireland,2019 Q4 (end December),Thousands,Buses and coaches,0.2,0.2,0.2,0.1,0.2,0.4,1.2,1,1.3,0.8,5.5,9.9
Northern Ireland,2020 Q4 (end December),Thousands,Buses and coaches,0.2,0.1,0.2,0.2,0.1,0.2,1.1,0.9,1.3,0.5,4.8,10.2
Northern Ireland,2021 Q4 (end December),Thousands,Buses and coaches,0.4,0.2,0.2,0.2,0.2,0.1,1.1,0.7,1.5,0.5,5.1,10
Northern Ireland,2022 Q4 (end December),Thousands,Buses and coaches,0.4,0.4,0.2,0.2,0.2,0.2,1,0.7,1.4,0.5,5.1,9.7
Northern Ireland,2023 Q4 (end December),Thousands,Buses and coaches,0.2,0.4,0.4,0.2,0.2,0.2,0.9,0.7,1.6,0.5,5.1,10.3
Northern Ireland,2024 Q4 (end December),Thousands,Buses and coaches,0.2,0.2,0.4,0.4,0.2,0.2,0.8,0.8,1.7,0.4,5.2,10.8
Northern Ireland,2025 Q4 (end December),Thousands,Buses and coaches,0.2,0.2,0.2,0.4,0.4,0.2,0.8,0.8,1.8,0.4,5.2,11.1
Northern Ireland,2014 Q4 (end December),Thousands,Cars,59.3,53.9,45.3,40.4,41.1,37.7,175,112.1,66.7,265.8,897.4,7.2
Northern Ireland,2015 Q4 (end December),Thousands,Cars,59,66.6,56,44.8,42.9,42.1,169.9,111.9,80.4,241.6,915.1,7.2
Northern Ireland,2016 Q4 (end December),Thousands,Cars,60,68,69.5,56.1,48.7,44.4,169.2,114,93.1,218.8,941.8,7.1
Northern Ireland,2017 Q4 (end December),Thousands,Cars,55.6,69.5,72.1,69.6,59.5,50.2,166,120.9,101.2,195.2,959.8,7.2
Northern Ireland,2018 Q4 (end December),Thousands,Cars,52.3,64,73,72.3,73,61,179.9,118.5,108.9,172.7,975.7,7.2
Northern Ireland,2019 Q4 (end December),Thousands,Cars,51.3,59.3,68.2,73,76.3,75.2,205.3,115.6,119.1,152.6,995.9,7.4
Northern Ireland,2020 Q4 (end December),Thousands,Cars,36.4,57.1,61.9,69.2,75.8,77.6,239.6,113.3,135.8,134.6,"1,001.40",7.7
Northern Ireland,2021 Q4 (end December),Thousands,Cars,36.5,40.8,60.7,63.5,74.6,78.4,279.2,122.8,138.5,115.8,"1,010.80",8
Northern Ireland,2022 Q4 (end December),Thousands,Cars,38.6,38,41.7,60.6,63.9,75.4,306.3,140,151.3,101.7,"1,017.40",8.4
Northern Ireland,2023 Q4 (end December),Thousands,Cars,46.3,39.7,39.7,41.5,60.7,64.3,319.7,165.1,168.3,88.6,"1,033.90",8.8
Northern Ireland,2024 Q4 (end December),Thousands,Cars,50.2,48.8,41,39,43.3,62.5,306.8,201.5,183.9,74.9,"1,051.80",9
Northern Ireland,2025 Q4 (end December),Thousands,Cars,46.8,54.1,51.1,40.3,41.9,44.8,293.4,232.6,208.4,63.9,"1,077.30",9.3
Northern Ireland,2014 Q4 (end December),Thousands,Heavy goods vehicles,0.9,0.9,0.7,0.6,0.5,0.6,3.7,1.6,1.4,11.9,22.8,7.6
Northern Ireland,2015 Q4 (end December),Thousands,Heavy goods vehicles,1,0.9,0.9,0.7,0.8,0.6,3.8,2,1.6,10.4,22.7,7.7
Northern Ireland,2016 Q4 (end December),Thousands,Heavy goods vehicles,1.2,1,1,1,0.9,0.9,3.6,2.6,2,9.2,23.5,7.8
Northern Ireland,2017 Q4 (end December),Thousands,Heavy goods vehicles,1.1,1.2,1,1,1.2,1,3.9,3.1,2.5,8,24,8
Northern Ireland,2018 Q4 (end December),Thousands,Heavy goods vehicles,1.2,1.1,1.2,1.1,1.1,1.4,4.1,3.3,3,6.8,24.3,8.1
Northern Ireland,2019 Q4 (end December),Thousands,Heavy goods vehicles,1.4,1.2,1.2,1.2,1.2,1.1,4.8,2.8,3.7,5.7,24.3,8.2
Northern Ireland,2020 Q4 (end December),Thousands,Heavy goods vehicles,0.9,1.4,1.2,1.2,1.4,1.3,5.4,2.5,4.1,4.8,24.2,8.5
Northern Ireland,2021 Q4 (end December),Thousands,Heavy goods vehicles,1,0.9,1.4,1.3,1.3,1.5,6.1,2.6,4.7,4.3,24.8,8.8
Northern Ireland,2022 Q4 (end December),Thousands,Heavy goods vehicles,1.2,1,0.9,1.4,1.3,1.3,6,3.2,4.9,3.8,24.9,9.1
Northern Ireland,2023 Q4 (end December),Thousands,Heavy goods vehicles,1.3,1.1,1,0.8,1.4,1.4,5.6,4.1,4.9,3.2,25,9.2
Northern Ireland,2024 Q4 (end December),Thousands,Heavy goods vehicles,1.5,1.3,1.1,1,0.9,1.7,6,4,5.1,2.8,25.4,9.2
Northern Ireland,2025 Q4 (end December),Thousands,Heavy goods vehicles,1.3,1.4,1.3,1.1,1.1,1,6.7,3.8,5.7,2.4,25.8,9.4
Northern Ireland,2014 Q4 (end December),Thousands,Light goods vehicles,5.8,4.8,4.4,4.7,3.6,3.2,20.1,9.4,7.2,34.8,97.9,7.5
Northern Ireland,2015 Q4 (end December),Thousands,Light goods vehicles,6.7,6.3,5.3,5.2,5.5,3.9,18.8,10.3,8.6,31.2,101.9,7.3
Northern Ireland,2016 Q4 (end December),Thousands,Light goods vehicles,7.4,7.4,7,6.3,5.9,6,17.9,11.8,9.8,28.1,107.7,7.2
Northern Ireland,2017 Q4 (end December),Thousands,Light goods vehicles,6.7,8,8.4,8.2,7.2,6.4,18.8,13,11.3,25.1,113.2,7.2
Northern Ireland,2018 Q4 (end December),Thousands,Light goods vehicles,6.6,7.3,9,9.7,9,7.7,20.7,13.2,12.5,21.9,117.7,7.2
Northern Ireland,2019 Q4 (end December),Thousands,Light goods vehicles,6.5,7.2,8.1,10.4,10.6,9.5,25.2,11.9,14.4,19.2,123.1,7.3
Northern Ireland,2020 Q4 (end December),Thousands,Light goods vehicles,5.2,7.1,7.9,9.1,11.2,11.2,30.6,11.4,17.1,17.3,128,7.7
Northern Ireland,2021 Q4 (end December),Thousands,Light goods vehicles,7.7,5.7,7.7,9,10.2,11.9,35.9,13.2,18.6,14.9,134.9,7.8
Northern Ireland,2022 Q4 (end December),Thousands,Light goods vehicles,6,8.2,6,8.4,9.7,10.4,41,16,19.2,12.9,137.8,8.1
Northern Ireland,2023 Q4 (end December),Thousands,Light goods vehicles,6.9,6.3,8.7,6.6,9.2,10.1,43.7,19.1,20.9,11.3,142.7,8.4
Northern Ireland,2024 Q4 (end December),Thousands,Light goods vehicles,6.9,7.5,6.8,9.8,7.5,10.1,44.2,22,23.2,9.6,147.7,8.6
Northern Ireland,2025 Q4 (end December),Thousands,Light goods vehicles,7.2,7.8,8.3,7.6,10.9,8.1,44,26.8,26.2,8.2,155.1,8.8
Northern Ireland,2014 Q4 (end December),Thousands,Motorcycles,1.3,1,0.9,0.8,0.9,1.1,4.7,2.7,4.9,5.8,24,11.7
Northern Ireland,2015 Q4 (end December),Thousands,Motorcycles,1.4,1.1,0.9,0.8,0.7,0.8,4.2,2.6,4.6,5,22.2,10.9
Northern Ireland,2016 Q4 (end December),Thousands,Motorcycles,1.6,1.2,1,0.9,0.8,0.7,3.7,2.4,5.2,4.5,22.1,11
Northern Ireland,2017 Q4 (end December),Thousands,Motorcycles,1.5,1.4,1.2,0.9,0.8,0.7,3.2,2.6,5.5,4.5,22.3,11.2
Northern Ireland,2018 Q4 (end December),Thousands,Motorcycles,1.6,1.3,1.3,1.1,0.8,0.7,2.7,2.6,6.1,4.2,22.5,11.5
Northern Ireland,2019 Q4 (end December),Thousands,Motorcycles,1.6,1.4,1.3,1.2,1,0.8,2.5,2.4,6.8,4.1,23.2,12
Northern Ireland,2020 Q4 (end December),Thousands,Motorcycles,1.7,1.4,1.3,1.2,1.2,1,2.6,2,7.6,4,24,12.4
Northern Ireland,2021 Q4 (end December),Thousands,Motorcycles,2,1.5,1.4,1.3,1.2,1.1,3,1.8,8.7,4.3,26.3,12.7
Northern Ireland,2022 Q4 (end December),Thousands,Motorcycles,1.9,1.7,1.4,1.3,1.2,1.1,3.2,1.6,8.7,4.1,26.1,12.9
Northern Ireland,2023 Q4 (end December),Thousands,Motorcycles,2,1.6,1.5,1.3,1.2,1.1,3.4,1.5,8.8,4,26.4,13.3
Northern Ireland,2024 Q4 (end December),Thousands,Motorcycles,2,1.7,1.5,1.4,1.2,1.1,3.6,1.5,8.5,3.8,26.3,13.1
Northern Ireland,2025 Q4 (end December),Thousands,Motorcycles,1.8,1.8,1.6,1.4,1.3,1.1,3.7,1.8,8.8,3.8,27.2,13.4
Northern Ireland,2014 Q4 (end December),Thousands,Other vehicles,1.3,0.9,1,0.9,0.7,0.7,3,1.8,8.4,10.3,29.1,18.2
Northern Ireland,2015 Q4 (end December),Thousands,Other vehicles,1,1.1,0.9,1,0.9,0.7,3.2,1.8,9.1,9.8,29.5,17.8
Northern Ireland,2016 Q4 (end December),Thousands,Other vehicles,1.1,0.9,1.1,0.9,1,0.9,3.3,2,9.9,9.5,30.7,17.9
Northern Ireland,2017 Q4 (end December),Thousands,Other vehicles,1.2,1,0.9,1.2,1,1.1,3.7,2.4,11.2,9.9,33.6,17.8
Northern Ireland,2018 Q4 (end December),Thousands,Other vehicles,1.3,1.1,1,0.9,1.2,1,3.8,2.8,12.1,9.8,35,17.8
Northern Ireland,2019 Q4 (end December),Thousands,Other vehicles,1.3,1.1,1,0.9,0.9,1.2,4,2.9,12.9,9.6,35.8,18
Northern Ireland,2020 Q4 (end December),Thousands,Other vehicles,1,1.1,1.1,1,1,0.9,4.4,2.9,13.8,9.4,36.7,18.2
Northern Ireland,2021 Q4 (end December),Thousands,Other vehicles,1.3,1,1.2,1.2,1.1,1.1,4.4,2.9,15,9.5,38.7,18.1
Northern Ireland,2022 Q4 (end December),Thousands,Other vehicles,1.5,1.2,1,1.2,1.2,1.1,4.3,3.1,15.9,9.4,40,18.3
Northern Ireland,2023 Q4 (end December),Thousands,Other vehicles,1.4,1.3,1.2,1,1.2,1.2,4.3,3.3,16.7,9.4,41,18.4
Northern Ireland,2024 Q4 (end December),Thousands,Other vehicles,1.5,1.3,1.3,1.2,1,1.2,4.3,3.4,17.5,9.3,42,18.7
Northern Ireland,2025 Q4 (end December),Thousands,Other vehicles,1.7,1.3,1.3,1.3,1.2,1,4.6,3.1,18.4,9.2,43.3,18.6
Northern Ireland,2014 Q4 (end December),Thousands,Total,69,61.8,52.5,47.5,47.1,43.6,208.1,128.2,89,329.9,"1,076.70",7.6
Northern Ireland,2015 Q4 (end December),Thousands,Total,69.4,76.3,64.4,52.7,50.9,48.5,201.5,129.4,104.7,299.1,"1,096.90",7.5
Northern Ireland,2016 Q4 (end December),Thousands,Total,71.4,78.7,80,65.5,57.4,53.2,199.2,133.8,120.7,271.3,"1,131.40",7.5
Northern Ireland,2017 Q4 (end December),Thousands,Total,66.4,81.2,83.9,81.2,70,59.7,196.7,143,132.6,243.6,"1,158.30",7.5
Northern Ireland,2018 Q4 (end December),Thousands,Total,63.2,75.1,85.7,85.3,85.4,72.2,212.2,141.5,143.7,216.3,"1,180.50",7.6
Northern Ireland,2019 Q4 (end December),Thousands,Total,62.2,70.5,80.1,86.9,90.2,88.1,243,136.6,158.2,192,"1,207.70",7.8
Northern Ireland,2020 Q4 (end December),Thousands,Total,45.3,68.3,73.7,82,90.7,92.2,283.6,133.1,179.7,170.6,"1,219.10",8.1
Northern Ireland,2021 Q4 (end December),Thousands,Total,48.9,50,72.5,76.5,88.5,94.2,329.7,144,187,149.2,"1,240.50",8.4
Northern Ireland,2022 Q4 (end December),Thousands,Total,49.5,50.3,51.1,73.1,77.5,89.5,361.8,164.5,201.4,132.4,"1,251.20",8.8
Northern Ireland,2023 Q4 (end December),Thousands,Total,58,50.3,52.3,51.5,73.9,78.4,377.6,193.9,221.2,116.9,"1,274.10",9.1
Northern Ireland,2024 Q4 (end December),Thousands,Total,62.2,60.6,52,52.8,54.1,76.8,365.7,233.2,240.1,100.9,"1,298.40",9.3
Northern Ireland,2025 Q4 (end December),Thousands,Total,58.9,66.6,63.8,52.2,56.8,56.2,353.1,269,269.3,87.9,"1,333.80",9.6
United Kingdom,2014 Q4 (end December),Thousands,Buses and coaches,8.3,9,9.6,8.3,8.4,8.9,44.6,28.4,36.4,5.9,167.8,9.9
United Kingdom,2015 Q4 (end December),Thousands,Buses and coaches,9.1,8.3,8.9,9.5,8.2,8.2,41.4,28.9,38.6,5.9,167.2,10
United Kingdom,2016 Q4 (end December),Thousands,Buses and coaches,9.6,9.1,8.3,8.8,9.4,8,38.1,29,41,5.9,167.1,10.2
United Kingdom,2017 Q4 (end December),Thousands,Buses and coaches,8.4,9.5,8.9,8.1,8.6,9,34.6,28.7,42.4,5.7,164,10.3
United Kingdom,2018 Q4 (end December),Thousands,Buses and coaches,7.9,8.4,9.3,8.8,8,8.3,32.5,28,43.9,5.4,160.5,10.6
United Kingdom,2019 Q4 (end December),Thousands,Buses and coaches,7,7.8,8.3,9.1,8.7,7.8,31.9,25.8,45.8,5.2,157.5,10.8
United Kingdom,2020 Q4 (end December),Thousands,Buses and coaches,4.9,6.4,7.2,7.5,8.2,7.7,29.4,22,43.7,4.5,141.5,11.2
United Kingdom,2021 Q4 (end December),Thousands,Buses and coaches,4.4,4.9,6.9,7.7,8,8.7,31.6,20.7,48.2,4.6,145.7,11.5
United Kingdom,2022 Q4 (end December),Thousands,Buses and coaches,4.3,4.4,4.9,6.9,7.7,8.1,32.2,20.9,49.4,4.5,143.2,11.9
United Kingdom,2023 Q4 (end December),Thousands,Buses and coaches,5.7,4.3,4.4,4.9,6.9,7.6,32,21.3,49.9,4.3,141.3,12.2
United Kingdom,2024 Q4 (end December),Thousands,Buses and coaches,9.6,6,4.3,4.4,4.8,6.6,31.5,21.4,50.1,4.2,142.9,12.1
United Kingdom,2025 Q4 (end December),Thousands,Buses and coaches,9.8,9.5,6,4.2,4.3,4.6,29.6,21.2,50,3.9,143.2,11.9
United Kingdom,2014 Q4 (end December),Thousands,Cars,"2,364.00","2,158.30","1,917.20","1,759.70","1,858.90","1,822.80","8,113.80","5,570.70","4,039.50",725.2,"30,330.20",7.9
United Kingdom,2015 Q4 (end December),Thousands,Cars,"2,496.50","2,365.30","2,138.20","1,857.40","1,769.00","1,839.50","7,709.20","5,461.50","4,669.00",681.9,"30,987.50",7.9
United Kingdom,2016 Q4 (end December),Thousands,Cars,"2,567.10","2,520.00","2,357.50","2,081.70","1,878.50","1,756.80","7,440.20","5,341.10","5,208.60",640.7,"31,792.30",7.9
United Kingdom,2017 Q4 (end December),Thousands,Cars,"2,386.70","2,572.40","2,504.00","2,281.50","2,096.80","1,860.80","7,013.80","5,279.70","5,571.10",593.2,"32,159.90",8
United Kingdom,2018 Q4 (end December),Thousands,Cars,"2,255.10","2,420.30","2,549.70","2,420.50","2,293.30","2,074.20","6,968.90","5,074.10","5,879.00",558.3,"32,493.30",8.1
United Kingdom,2019 Q4 (end December),Thousands,Cars,"2,203.50","2,256.20","2,403.10","2,479.90","2,439.40","2,277.00","7,229.60","4,860.40","6,205.10",530.2,"32,884.30",8.2
United Kingdom,2020 Q4 (end December),Thousands,Cars,"1,571.30","2,183.30","2,215.30","2,290.60","2,476.10","2,419.50","7,673.40","4,681.40","6,686.60",499.9,"32,697.40",8.5
United Kingdom,2021 Q4 (end December),Thousands,Cars,"1,610.70","1,567.60","2,184.70","2,165.00","2,333.60","2,480.10","8,410.30","4,674.20","6,981.20",482,"32,889.50",8.8
United Kingdom,2022 Q4 (end December),Thousands,Cars,"1,583.90","1,579.60","1,550.90","2,152.90","2,195.20","2,339.00","9,054.40","4,794.20","7,462.20",475,"33,187.30",9.1
United Kingdom,2023 Q4 (end December),Thousands,Cars,"1,855.30","1,550.80","1,564.90","1,501.10","2,155.50","2,185.90","9,309.30","5,071.10","7,915.30",470.8,"33,579.90",9.3
United Kingdom,2024 Q4 (end December),Thousands,Cars,"1,894.60","1,824.90","1,537.70","1,517.80","1,519.90","2,152.10","9,225.70","5,598.70","8,223.50",471.9,"33,966.60",9.5
United Kingdom,2025 Q4 (end December),Thousands,Cars,"1,952.70","1,878.10","1,818.70","1,492.80","1,535.90","1,520.80","8,960.80","6,174.10","8,668.50",482.9,"34,485.50",9.7
United Kingdom,2014 Q4 (end December),Thousands,Heavy goods vehicles,37.1,52,40,36.3,26.1,25,131,53.8,69.4,23,493.7,7.5
United Kingdom,2015 Q4 (end December),Thousands,Heavy goods vehicles,48.2,36.9,51.1,38.1,34.1,23.4,117.1,59.1,72.6,21.6,502.1,7.5
United Kingdom,2016 Q4 (end December),Thousands,Heavy goods vehicles,50.7,47.4,36.2,50,36.7,31.3,103.1,63.7,77.6,20.4,517,7.5
United Kingdom,2017 Q4 (end December),Thousands,Heavy goods vehicles,50.4,50,46.2,35.1,47.8,32.5,96.2,63.4,82.6,19.1,523.2,7.5
United Kingdom,2018 Q4 (end December),Thousands,Heavy goods vehicles,48.4,49.6,49.1,44.6,33.8,43.1,88.2,63,87.2,17.6,524.5,7.5
United Kingdom,2019 Q4 (end December),Thousands,Heavy goods vehicles,54.1,47.5,48.6,46.6,42.8,30.8,97.8,50.6,90.9,16,525.7,7.4
United Kingdom,2020 Q4 (end December),Thousands,Heavy goods vehicles,36.8,52.8,46.6,46.8,45.8,40.4,98.7,39.8,88.3,14,510,7.4
United Kingdom,2021 Q4 (end December),Thousands,Heavy goods vehicles,42.4,36.4,52.9,46.1,47.4,45.4,114.6,35.5,94.9,13.6,529.2,7.6
United Kingdom,2022 Q4 (end December),Thousands,Heavy goods vehicles,45,41.5,36.1,51.7,44.5,44.8,128.9,38.1,93.2,12.7,536.5,7.7
United Kingdom,2023 Q4 (end December),Thousands,Heavy goods vehicles,50.5,44.1,40.8,34.6,49.3,40.9,129.9,44.6,88.6,11.7,535,7.7
United Kingdom,2024 Q4 (end December),Thousands,Heavy goods vehicles,49.8,49.6,43.5,38.7,33.6,46,131,44.9,86.2,11,534.3,7.7
United Kingdom,2025 Q4 (end December),Thousands,Heavy goods vehicles,46.2,49,49.1,42.3,38.5,32.1,134.4,49.7,85.9,10.3,537.5,7.8
United Kingdom,2014 Q4 (end December),Thousands,Light goods vehicles,312.8,262.4,228.9,235.9,200.3,164.6,"1,009.80",560.7,449.5,120.9,"3,545.80",8
United Kingdom,2015 Q4 (end December),Thousands,Light goods vehicles,360.9,309.7,257.3,218.5,231.9,195.3,901.3,596.1,520.5,117.6,"3,709.20",8
United Kingdom,2016 Q4 (end December),Thousands,Light goods vehicles,368.4,360.4,305.2,248.9,214.9,228.1,823.1,619,607,114.7,"3,889.80",8
United Kingdom,2017 Q4 (end December),Thousands,Light goods vehicles,353.7,363.3,352.5,294,243.6,209.3,772.7,626.6,685.6,110.3,"4,011.40",8
United Kingdom,2018 Q4 (end December),Thousands,Light goods vehicles,353.3,350,357.1,341,287.8,236.8,740.5,604.6,749.8,106.8,"4,127.60",8.1
United Kingdom,2019 Q4 (end December),Thousands,Light goods vehicles,355.1,347.9,344.1,344.6,333.1,280.4,802.6,513.8,821.4,103.5,"4,246.40",8.2
United Kingdom,2020 Q4 (end December),Thousands,Light goods vehicles,290.7,357.6,345.8,336.3,340.2,327.8,886.3,461.1,903.2,99.4,"4,348.50",8.4
United Kingdom,2021 Q4 (end December),Thousands,Light goods vehicles,352.5,287.4,355.1,338.1,332,334.7,992,469.7,981.1,98.6,"4,541.10",8.6
United Kingdom,2022 Q4 (end December),Thousands,Light goods vehicles,279.9,349.2,285.5,346.8,331.5,325.4,"1,112.30",506.9,990.6,95.8,"4,623.90",8.9
United Kingdom,2023 Q4 (end December),Thousands,Light goods vehicles,336,277.2,344.3,275.4,335.7,323.1,"1,188.10",532.3,"1,005.50",92.8,"4,710.30",9
United Kingdom,2024 Q4 (end December),Thousands,Light goods vehicles,344.2,334.6,274.4,331.7,266.5,325.7,"1,219.80",574.5,"1,035.70",89.9,"4,797.00",9.1
United Kingdom,2025 Q4 (end December),Thousands,Light goods vehicles,312.4,346.1,330.9,265.4,324.7,261.1,"1,224.70",677.1,"1,057.20",87.1,"4,886.90",9.3
United Kingdom,2014 Q4 (end December),Thousands,Motorcycles,93.7,73.7,67.1,59.1,55.1,57.3,219,134.1,355.6,115.8,"1,230.60",13.2
United Kingdom,2015 Q4 (end December),Thousands,Motorcycles,105.1,80.9,65.4,57.9,53,50.3,208.8,127.2,377.2,117.1,"1,242.90",13.4
